p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.23979128126483,0.935,0.643,0,CD4-CD69,IL7R
0,0.578170816099718,0.998,0.993,0,CD4-CD69,RPL34
0,0.55326380857271,0.997,0.993,0,CD4-CD69,RPS18
0,0.549947761695264,0.999,0.996,0,CD4-CD69,RPS12
0,0.533740777530699,0.998,0.994,0,CD4-CD69,RPL32
0,0.496242483765663,0.998,0.99,0,CD4-CD69,RPS3A
0,0.495520499641388,0.998,0.997,0,CD4-CD69,RPL13
0,0.4798846615116,0.998,0.995,0,CD4-CD69,RPS27A
0,0.457012623061988,0.999,0.994,0,CD4-CD69,RPL11
0,0.45671235421152,0.998,0.992,0,CD4-CD69,RPS14
0,0.454431412548833,0.999,0.998,0,CD4-CD69,RPL10
0,-1.71517555089652,0.202,0.599,0,CD4-CD69,DUSP4
7.28157759526434e-306,0.534141946721353,0.993,0.988,3.28166139063373e-301,CD4-CD69,RPL3
2.00398836369482e-300,-1.60750586463685,0.214,0.583,9.03157475749981e-296,CD4-CD69,HLA-DRB1
6.07708530519004e-300,0.9257374227752,0.492,0.191,2.73882080534304e-295,CD4-CD69,CD40LG
1.13712605791079e-289,0.521352283824293,0.996,0.991,5.12479971779235e-285,CD4-CD69,RPS6
1.25785181742257e-289,0.476709652884659,0.998,0.991,5.66888657076003e-285,CD4-CD69,RPL39
7.91149520871125e-289,0.435134556478205,1,0.998,3.56555266066199e-284,CD4-CD69,RPLP1
4.27423626423923e-275,-1.49902467116942,0.278,0.614,1.92631279956734e-270,CD4-CD69,CST7
4.13480747177385e-271,-2.54427684406623,0.128,0.471,1.86347503137904e-266,CD4-CD69,NKG7
1.60636950455973e-268,-1.19978859991818,0.806,0.905,7.23958608314979e-264,CD4-CD69,CD74
6.01701443524309e-267,0.627340435504635,0.206,0.042,2.71174806567536e-262,CD4-CD69,TTC39C-AS1
5.77402053854754e-264,0.434076004237095,0.995,0.988,2.6022355763126e-259,CD4-CD69,RPS23
1.0524069037821e-261,0.477662640059188,1,0.999,4.74298743396518e-257,CD4-CD69,EEF1A1
4.49463228904164e-261,0.470288312002974,0.99,0.983,2.02564088002529e-256,CD4-CD69,RPL9
1.52747782326542e-257,-2.5880624235602,0.197,0.531,6.8840370538926e-253,CD4-CD69,CCL4
2.77695075860981e-253,0.401200552370967,0.997,0.988,1.25151616789027e-248,CD4-CD69,RPS25
3.25822271913291e-253,0.421261662628198,0.996,0.991,1.46841581505882e-248,CD4-CD69,RPL18A
1.00634897673231e-251,0.498086360059622,0.997,0.992,4.53541356833719e-247,CD4-CD69,TPT1
2.3617135799708e-249,0.447454588822048,0.996,0.989,1.06437707622124e-244,CD4-CD69,RPS8
4.60232507661009e-249,0.757197588974448,0.98,0.924,2.07417586552664e-244,CD4-CD69,TXNIP
1.79935248728519e-248,0.455058671533138,0.994,0.982,8.1093217896969e-244,CD4-CD69,RPS13
6.92710957103266e-245,-1.31917479559634,0.083,0.421,3.121909741473e-240,CD4-CD69,TIGIT
5.84020158803483e-242,0.431474518146523,0.991,0.981,2.63206205169554e-237,CD4-CD69,RPL14
3.99341207718462e-236,0.454658872429679,0.998,0.992,1.79975095494557e-231,CD4-CD69,RPLP2
4.02628224631283e-235,0.404875697862408,0.997,0.993,1.81456488276826e-230,CD4-CD69,RPS3
1.94513129908303e-228,0.370576524312439,0.997,0.987,8.76631773870738e-224,CD4-CD69,RPL35A
1.28174821164965e-227,-1.89540945856529,0.065,0.38,5.77658284026264e-223,CD4-CD69,CD8A
1.80877815748095e-227,-0.50662913727945,0.992,0.996,8.15180140013513e-223,CD4-CD69,HLA-A
3.18917740362222e-217,0.535019395879749,0.981,0.964,1.43729847226446e-212,CD4-CD69,RPLP0
5.60019537555678e-215,-0.673325680274475,0.962,0.98,2.52389605185593e-210,CD4-CD69,SRGN
6.89022438261227e-215,0.378810986783445,0.998,0.993,3.1052863247557e-210,CD4-CD69,RPL19
2.13806409632262e-213,0.405087646319796,0.995,0.992,9.6358272693068e-209,CD4-CD69,RPL30
6.25065601488111e-211,1.02122012554275,0.868,0.74,2.81704565278662e-206,CD4-CD69,FOS
2.10576793922363e-209,-2.33503811159193,0.067,0.362,9.49027494849304e-205,CD4-CD69,GZMB
9.98632211402555e-209,0.433399961726744,0.991,0.972,4.50063565034904e-204,CD4-CD69,RPL35
6.02974436010402e-208,0.436696962540357,0.993,0.98,2.71748518821168e-203,CD4-CD69,RPL36
1.45628712308225e-205,0.397904761686061,0.997,0.994,6.56319480630708e-201,CD4-CD69,RPS4X
1.24683937548307e-202,-1.06517396104319,0.276,0.572,5.61925569742712e-198,CD4-CD69,HLA-DPA1
2.25207293843884e-200,0.376901060197422,0.994,0.987,1.01496423189562e-195,CD4-CD69,RPL12
1.12649294316756e-198,-1.11120110035808,0.254,0.556,5.07687839626754e-194,CD4-CD69,HLA-DPB1
3.34497146161958e-198,-1.27363261494598,0.112,0.413,1.50751173832271e-193,CD4-CD69,HLA-DRB5
6.78357411561348e-197,0.352902045125833,0.998,0.996,3.05722118242468e-192,CD4-CD69,RPS19
2.54395344057492e-196,0.449787624856184,0.974,0.954,1.14650893659831e-191,CD4-CD69,RPS5
2.33964138462942e-195,0.419605700332093,0.987,0.976,1.05442957922479e-190,CD4-CD69,RPL10A
9.44208684432161e-195,0.715955133888591,0.817,0.589,4.25535969899886e-190,CD4-CD69,LTB
1.26785003238267e-192,0.374718482358997,0.997,0.99,5.71394652594221e-188,CD4-CD69,RPS28
2.40121247274266e-188,-0.596804845361298,0.836,0.914,1.08217843721566e-183,CD4-CD69,OAZ1
4.63650977578931e-186,0.378338369829746,0.991,0.98,2.08958222575273e-181,CD4-CD69,RPL8
3.31859668119411e-184,0.425040931020126,0.976,0.943,1.49562515228056e-179,CD4-CD69,RPL22
7.40382453552362e-184,0.538074044353229,0.94,0.879,3.33675564166979e-179,CD4-CD69,EEF1B2
3.5175285591643e-182,0.455675168917371,0.989,0.97,1.58527977104417e-177,CD4-CD69,RPS21
3.52069437949508e-180,-1.00969178065395,0.566,0.753,1.58670654295084e-175,CD4-CD69,CD7
8.24680614105555e-180,-1.69234961272253,0.049,0.315,3.71667059165091e-175,CD4-CD69,GZMH
2.10141732072765e-179,0.481387337844125,0.995,0.987,9.47066758105539e-175,CD4-CD69,RPL21
1.03173141440788e-174,0.432099417133832,0.981,0.963,4.64980713845343e-170,CD4-CD69,RPL5
6.71731872145762e-172,0.396373021616879,0.994,0.987,3.02736120138652e-167,CD4-CD69,RPL37
6.88761255123464e-170,0.287879379430835,0.997,0.995,3.10410922459043e-165,CD4-CD69,RPS15A
2.01458469623511e-169,-1.31247045040194,0.047,0.306,9.07933030899238e-165,CD4-CD69,CD8B
3.63779006202297e-168,-1.16657258462887,0.242,0.502,1.63947922515251e-163,CD4-CD69,ZNF331
3.47064373676763e-165,0.345299305886152,0.988,0.977,1.56414971928643e-160,CD4-CD69,RPS9
2.38249935809587e-164,0.366326671382556,0.994,0.985,1.07374481070664e-159,CD4-CD69,RPS16
8.71583705479086e-163,0.364642730717439,0.99,0.985,3.92805344385314e-158,CD4-CD69,RPL18
2.24805403021004e-161,-0.711221775746657,0.946,0.973,1.01315299033506e-156,CD4-CD69,GAPDH
2.05722865867916e-159,-0.934482471327975,0.118,0.385,9.27151811893523e-155,CD4-CD69,MIR4435-2HG
4.1182923509141e-158,-1.18150486291224,0.142,0.406,1.85603199670997e-153,CD4-CD69,CTLA4
1.47423358343095e-157,0.463550608843533,0.977,0.947,6.64407591380663e-153,CD4-CD69,RPL38
3.01016786284854e-156,0.36657632318505,0.996,0.988,1.35662245242858e-151,CD4-CD69,RPL23A
5.75637054969912e-153,-1.10906597021984,0.088,0.339,2.5942810793384e-148,CD4-CD69,PRF1
6.98534478758714e-153,0.369564006249537,0.987,0.977,3.14815518886977e-148,CD4-CD69,RPL29
2.28718113502419e-151,0.268478035716113,0.997,0.993,1.0307867939327e-146,CD4-CD69,RPS15
1.81330687582933e-148,-1.78602634190587,0.517,0.651,8.17221142798762e-144,CD4-CD69,CCL5
2.08515963651091e-148,0.33648001442005,0.999,0.997,9.39739744982738e-144,CD4-CD69,RPL41
1.65965305387758e-139,0.385864968571052,0.98,0.969,7.47972438321546e-135,CD4-CD69,RPSA
4.13657394074358e-139,-1.1430564585267,0.06,0.286,1.86427114361432e-134,CD4-CD69,LAG3
4.56441765042066e-139,0.360890066170019,0.995,0.988,2.05709174669158e-134,CD4-CD69,RPS2
1.90896491163215e-138,-2.1740408820778,0.066,0.293,8.60332306374379e-134,CD4-CD69,CCL4L2
9.52753038885029e-136,-0.356525754533254,0.998,0.998,4.29386739564705e-131,CD4-CD69,HLA-B
4.3301247168711e-133,-0.930515858513854,0.288,0.51,1.95150060739947e-128,CD4-CD69,CD27
4.75057802086855e-133,-0.972049231828209,0.081,0.312,2.14099050244504e-128,CD4-CD69,HLA-DQA1
6.51469091333089e-126,0.393358175066747,0.975,0.957,2.93604090081996e-121,CD4-CD69,RPL27
3.61831379102174e-124,-1.33464696375857,0.025,0.22,1.63070165933768e-119,CD4-CD69,KLRD1
1.33037177282349e-120,-0.684370070828691,0.55,0.724,5.99571950576092e-116,CD4-CD69,HERPUD1
5.55838171305826e-120,-0.763248042407898,0.276,0.512,2.5050514704411e-115,CD4-CD69,LINC00152
2.42864408340358e-118,0.409265814216566,0.787,0.538,1.09454131550833e-113,CD4-CD69,ANXA1
2.58875581732074e-118,0.300175541522976,1,0.997,1.16670047175011e-113,CD4-CD69,RPS27
3.61513145751496e-118,-1.2677012497765,0.023,0.211,1.62926744527284e-113,CD4-CD69,CRTAM
3.05542083904454e-117,-0.863373159352199,0.014,0.196,1.37701706374059e-112,CD4-CD69,TNFRSF9
1.94681708283996e-115,0.478470977084848,0.246,0.1,8.77391522894315e-111,CD4-CD69,PLAC8
1.84892444357434e-114,-0.877347624672315,0.111,0.327,8.33273268230084e-110,CD4-CD69,FABP5
8.92862301446571e-114,-0.325188713384445,0.996,0.996,4.02395182015941e-109,CD4-CD69,HLA-C
1.37609210354482e-113,-0.560200045740711,0.658,0.785,6.20177189225578e-109,CD4-CD69,SUB1
1.82609838930247e-113,0.56657252566101,0.474,0.277,8.22986022090838e-109,CD4-CD69,FKBP11
2.47077601570792e-113,0.550757778908572,0.916,0.838,1.11352933475925e-108,CD4-CD69,RPL36A
5.35704056658511e-113,0.617774170956302,0.888,0.809,2.41431104254858e-108,CD4-CD69,DUSP1
6.96716643262865e-112,0.516988428134781,0.389,0.206,3.13996256785708e-107,CD4-CD69,TIMP1
8.1066930712292e-112,-0.65959149776382,0.63,0.754,3.65352443334158e-107,CD4-CD69,SOD1
1.52151019544305e-111,-0.750050700359099,0.147,0.362,6.85714214882273e-107,CD4-CD69,GABARAPL1
2.56240043682688e-111,0.28681024353638,0.992,0.98,1.15482262886914e-106,CD4-CD69,RPL6
9.5999113991249e-111,-1.04046968746512,0.233,0.442,4.32648806935761e-106,CD4-CD69,PMAIP1
2.90771089536886e-110,-0.392827269730122,0.956,0.976,1.31044714632484e-105,CD4-CD69,H3F3B
6.70746268231496e-110,-0.657622218721437,0.945,0.953,3.02291928166571e-105,CD4-CD69,IL32
2.35579553988478e-109,0.73670627360671,0.601,0.4,1.06170993391527e-104,CD4-CD69,KLRB1
2.76025057349758e-109,0.563515157117147,0.427,0.249,1.24398972846389e-104,CD4-CD69,FLT3LG
4.98125467174311e-109,-0.821587265387971,0.338,0.537,2.24495185546118e-104,CD4-CD69,CTSC
1.36207416215746e-108,-0.73574434123978,0.084,0.285,6.13859583401125e-104,CD4-CD69,LYST
1.61642234143602e-107,-3.31179276148387,0.102,0.291,7.28489220838384e-103,CD4-CD69,CXCL13
4.87421417997638e-107,-0.88830532124576,0.26,0.478,2.19671084663175e-102,CD4-CD69,HLA-DRA
6.11665621353519e-107,0.377472782529034,0.958,0.93,2.75665462231604e-102,CD4-CD69,RPL4
1.85607298672598e-106,-0.45602015879175,0.827,0.886,8.36494973657666e-102,CD4-CD69,H3F3A
4.15895166000999e-106,0.476421864835014,0.977,0.951,1.8743563341333e-101,CD4-CD69,RPL7
4.48431406041736e-106,0.326149602197593,0.99,0.977,2.02099066074889e-101,CD4-CD69,RPL37A
4.08325263575565e-105,-0.756687857710634,0.226,0.442,1.84024029788236e-100,CD4-CD69,CKS2
9.58324423516481e-105,0.569408533095434,0.41,0.237,4.31897651190408e-100,CD4-CD69,AQP3
9.90762852698565e-104,-0.745915241144182,0.497,0.667,4.46517002454189e-99,CD4-CD69,H2AFZ
9.19536055699302e-103,-0.707607987087551,0.231,0.439,4.14416509582562e-98,CD4-CD69,BTG3
2.05994076739471e-100,-0.655550994923024,0.102,0.303,9.28374105049448e-96,CD4-CD69,PTTG1
3.87894939062654e-100,-0.621306220152314,0.054,0.237,1.74816491136757e-95,CD4-CD69,HLA-DMA
6.55866004585384e-99,0.630778779564006,0.489,0.297,2.95585690946541e-94,CD4-CD69,KLF2
4.43970442066939e-97,0.462207919873634,0.818,0.719,2.00088598830728e-92,CD4-CD69,GLTSCR2
6.60884375656218e-97,0.382610240252507,0.983,0.967,2.97847370420744e-92,CD4-CD69,RPL26
8.35454090070645e-97,-1.18909523001007,0.338,0.515,3.76522449313038e-92,CD4-CD69,GZMA
1.69287246614074e-95,0.421315166766866,0.107,0.029,7.62943763040307e-91,CD4-CD69,IL2
1.43941564742506e-94,0.475963135330228,0.246,0.111,6.48715843981524e-90,CD4-CD69,PTGER2
1.82648343499584e-93,0.537632767367022,0.896,0.806,8.23159554483923e-89,CD4-CD69,CD69
8.06438373566361e-92,-0.6989161336572,0.043,0.209,3.63445646198888e-87,CD4-CD69,ZEB2
5.42266719740874e-91,0.461966988355221,0.975,0.95,2.44388765252817e-86,CD4-CD69,RPL31
7.67033812185095e-91,-1.14181105626868,0.191,0.367,3.45686798475579e-86,CD4-CD69,CTSW
9.66638151394122e-91,-0.738023652603793,0.036,0.196,4.35644482070303e-86,CD4-CD69,HAVCR2
1.22696781111141e-90,0.265499207527481,0.981,0.966,5.52969853111689e-86,CD4-CD69,UBA52
1.39456186147544e-90,0.394777281124348,0.886,0.807,6.28501139729753e-86,CD4-CD69,FXYD5
2.53684838161688e-90,0.476483171716118,0.339,0.18,1.14330682862709e-85,CD4-CD69,CCR6
4.7681131106094e-90,-0.43154654835086,0.954,0.966,2.14889321668945e-85,CD4-CD69,UBC
9.99877329039345e-90,-0.672825031380756,0.357,0.548,4.50624714651452e-85,CD4-CD69,ARID5B
3.13973293430708e-89,-0.647782159395569,0.137,0.325,1.41501483883351e-84,CD4-CD69,NAMPT
2.74031521781013e-88,-0.656531575085996,0.045,0.207,1.23500526236267e-83,CD4-CD69,PTMS
1.69588349574522e-86,-0.488106237760672,0.748,0.872,7.64300773862457e-82,CD4-CD69,RGS1
2.59164286607757e-86,-0.678951816970221,0.326,0.511,1.16800160688384e-81,CD4-CD69,ZFAND5
