HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:4714	H1-0	H1.0 linker histone	Approved	gene with protein product	H1FV, H1F0	H1.0	22q13.1	3005	ENSG00000189060	OTTHUMG00000150659	1935	H1 histones
HGNC:4715	H1-1	H1.1 linker histone, cluster member	Approved	gene with protein product	H1F1, HIST1H1A	H1.1, H1a	6p22.2	3024	ENSG00000124610	OTTHUMG00000016413	1935	H1 histones
HGNC:4722	H1-10	H1.10 linker histone	Approved	gene with protein product	H1FX	MGC15959, MGC8350, H1X	3q21.3	8971	ENSG00000184897	OTTHUMG00000159450	1935	H1 histones
HGNC:19163	H1-12P	H1.12 linker histone, cluster member, pseudogene	Approved	pseudogene	HIST1H1PS1	dJ34B20.16, FLJ39701, H1F6P	6p22.2	387325	ENSG00000216331	OTTHUMG00000014431	1935	H1 histones
HGNC:4716	H1-2	H1.2 linker histone, cluster member	Approved	gene with protein product	H1F2, HIST1H1C	H1.2, H1s-1, H1c	6p22.2	3006	ENSG00000187837	OTTHUMG00000016140	1935	H1 histones
HGNC:4717	H1-3	H1.3 linker histone, cluster member	Approved	gene with protein product	H1F3, HIST1H1D	H1.3, H1d, H1s-2	6p22.2	3007	ENSG00000124575	OTTHUMG00000014432	1935	H1 histones
HGNC:4718	H1-4	H1.4 linker histone, cluster member	Approved	gene with protein product	H1F4, HIST1H1E	H1.4, H1e, H1s-4	6p22.2	3008	ENSG00000168298	OTTHUMG00000014422	1935	H1 histones
HGNC:4719	H1-5	H1.5 linker histone, cluster member	Approved	gene with protein product	H1F5, HIST1H1B	H1b, H1s-3	6p22.1	3009	ENSG00000184357	OTTHUMG00000016139	1935	H1 histones
HGNC:4720	H1-6	H1.6 linker histone, cluster member	Approved	gene with protein product	H1FT, HIST1H1T	H1t	6p22.2	3010	ENSG00000187475	OTTHUMG00000014430	1935	H1 histones
HGNC:24893	H1-7	H1.7 linker histone	Approved	gene with protein product	H1FNT	HANP1, H1T2	12q13.11	341567	ENSG00000187166	OTTHUMG00000169904	1935	H1 histones
HGNC:18463	H1-8	H1.8 linker histone	Approved	gene with protein product	H1FOO		3q22.1	132243	ENSG00000178804	OTTHUMG00000159541	1935	H1 histones
HGNC:30616	H1-9P	H1.9 linker histone, pseudogene	Approved	pseudogene	HILS1, H1-9	H1.9	17q21.33	373861	ENSG00000188662	OTTHUMG00000162025	1935	H1 histones
HGNC:22516	H2AB1	H2A.B variant histone 1	Approved	gene with protein product	H2AFB1	H2A.B.2	Xq28	474382	ENSG00000274183	OTTHUMG00000034291	1936	H2A histones
